內文,內文_清理後,內文_斷詞後,手動標註
我選20歲奶大個性又好的處女正妹,我選20歲奶大個性又好的處女正妹,選20歲奶大個性又好的處女正妹,0
二分法很白痴，有的人適合第一個有的適合第二個，照,二分法很白痴，有的人適合第一個有的適合第二個，照,二分法很白痴，有的人適合第一個有的適合第二個，照,0
先把完個性差的 然後跟她鬧翻 再找個性好的正妹 很難嗎,先把完個性差的然後跟她鬧翻再找個性好的正妹很難嗎,先把完個性差的然後跟鬧翻再找個性好的正妹很難嗎,0
當然是個性好的又正的 你腦子有問題嘛 這有什麼好選的,當然是個性好的又正的你腦子有問題嘛這有什麼好選的,當然是個性好的又正的腦子有問題嘛有好選的,0
有%%%過會撒嬌的正妹技巧大概不錯,有過會撒嬌的正妹技巧大概不錯,有過會撒嬌的正妹技巧大概不錯,0
這年頭想要處?去保溫箱找吧,這年頭想要處去保溫箱找吧,年頭想要處去保溫箱找吧,0
象腿還脾氣差  那還不如買個越南的,象腿還脾氣差那還不如買個越南的,象腿還脾氣差還不如買個越南的,0
那個普妹搞不好選了也吃不到 投資心酸的,那個普妹搞不好選了也吃不到投資心酸的,個普妹搞不好選了也吃不到投資心酸的,0
第一個感覺沒優點這要想啥,第一個感覺沒優點這要想啥,第一個感覺沒優點要想,0
幻想文喔  你是有得選膩,幻想文喔你是有得選膩,幻想文喔是有得選膩,0
也不看看自己個性，糟的個性遇到糟的，好的個性跟好,也不看看自己個性，糟的個性遇到糟的，好的個性跟好,也不看看個性，糟的個性遇到糟的，好的個性跟好,0
相處的合，你挑人，人家也挑你，懂?,相處的合，你挑人，人家也挑你，懂,相處的合，挑人，也挑，懂,0
自以為有得選，笑了,自以為有得選，笑了,自以為有得選，笑了,0
誰打炮會想找處女啊,誰打炮會想找處女啊,打炮會想找處女啊,0
當然正的，雖然正的看不上阿宅,當然正的，雖然正的看不上阿宅,當然正的，雖然正的看不上阿宅,0
我是被虐狂 選第一個吧,我是被虐狂選第一個吧,是被虐狂選第一個吧,0
說真的 處女還要開發很麻煩,說真的處女還要開發很麻煩,說真的處女還要開發很麻煩,0
被氣死好過被尅死!!懂??,被氣死好過被尅死懂,被氣死好過被尅死懂,0
選正妹結果一卸妝...,選正妹結果一卸妝,選正妹結果一卸妝,0
肥宅是要選三小,肥宅是要選三小,肥宅是要選三小,0
選胸部大的,選胸部大的,選胸部大的,0
當然選奶大的,當然選奶大的,當然選奶大的,0
趕快簽下去啊,趕快簽下去啊,趕快簽下去啊,0
你太適合簽了,你太適合簽了,太適合簽了,0
投資有賺有賠，請小心投資。,投資有賺有賠，請小心投資。,投資有賺有賠，請小心投資。,0
任何投資都是有風險的，請謹慎投資。,任何投資都是有風險的，請謹慎投資。,任何投資都是有風險的，請謹慎投資。,0
不應該把投資視為一切請依照自身能力決定。,不應該把投資視為一切請依照自身能力決定。,不應該把投資視為一切請依照能力決定。,0
簽下去 你就能敘舊了,簽下去你就能敘舊了,簽下去就能敘舊了,0
在湖口車站的那間網咖打到早上  還在 ok商店吃宵夜,在湖口車站的那間網咖打到早上還在ok商店吃宵夜,在湖口車站的間網咖打到早上還在ok商店吃宵夜,0
兵變齁 退伍都馬上...,兵變齁退伍都馬上,兵變齁退伍都馬上,0
讓麥當當安慰你的心,讓麥當當安慰你的心,讓麥當當安慰的心,0
去找工作啦幹,去找工作啦幹,去找工作啦幹,0
奴性夠重，還不快簽下去，不簽可惜,奴性夠重，還不快簽下去，不簽可惜,奴性夠重，還不快簽下去，不簽可惜,0
退伍治百病 爽,退伍治百病爽,退伍治百病爽,0
再過兩三天你就有退的fu了,再過兩三天你就有退的fu了,再過兩三天就有退的fu了,0
你一定在想念士官長的肉棒,你一定在想念士官長的肉棒,一定在想念士官長的肉棒,0
在軍中被塞的滿滿的吼  退伍就空虛了吧,在軍中被塞的滿滿的吼退伍就空虛了吧,在軍中被塞的滿滿的吼退伍就空虛了吧,0
30歲前好像還能簽下去？,30歲前好像還能簽下去？,30歲前好像還能簽下去？,0
退伍後一個禮拜 換同梯沒折抵退 去高雄營區外網咖打咖打,退伍後一個禮拜換同梯沒折抵退去高雄營區外網咖打咖打,退伍後一個禮拜換同梯沒折抵退去高雄營區外網咖打咖打,0
到早上 然後說再見,到早上然後說再見,到早上然後說再見,0
當初退伍本來想風光和裡面學姐妹吃大餐 最後只有和一學長,當初退伍本來想風光和裡面學姐妹吃大餐最後只有和一學長,當初退伍本來想風光和裡面學姐妹吃大餐最後只有和一學長,0
兩學長吃新園牛肉鍋吃完默默抽菸搭火車,兩學長吃新園牛肉鍋吃完默默抽菸搭火車,兩學長吃新園牛肉鍋吃完默默抽菸搭火車,0
從我退伍後 作息沒有一天正常,從我退伍後作息沒有一天正常,從退伍後作息沒有一天正常,0
你有當到ATM工具人 陪同墮胎工具人嗎,你有當到ATM工具人陪同墮胎工具人嗎,有當到ATM工具人陪同墮胎工具人嗎,0
之前有個工具人工頭  想到又幫QQ了,之前有個工具人工頭想到又幫QQ了,之前有個工具人工頭想到又幫QQ了,0
這年頭當工具人也要$$$$$$$$$$了,這年頭當工具人也要了,年頭當工具人也要了,0
工具人最高等級可以叫什麼?,工具人最高等級可以叫什麼,工具人最高等級可以叫,0
安安  邊邊我I7八核心工具人,安安邊邊我I7八核心工具人,安安邊邊I7八核心工具人,0
工具人工頭來了  goo.gl/OKcqz5,工具人工頭來了googlOKcqz5,工具人工頭來了googlOKcqz5,0
我的等級是幫女生帶150個人團隊,我的等級是幫女生帶150個人團隊,的等級是幫女生帶150個人團隊,0
因為工具人很多不缺你一個,因為工具人很多不缺你一個,因為工具人很多不缺一個,0
有啊 不然你以為工頭叫假的啊,有啊不然你以為工頭叫假的啊,有啊不然以為工頭叫假的啊,0
看你是當一個女生的工具人 還是多個,看你是當一個女生的工具人還是多個,看是當一個女生的工具人還是多個,0
斗六某個店員好有氣質 不過關了,斗六某個店員好有氣質不過關了,斗六某個店員好有氣質不過關了,0
一樣的錢還不如自己去頂好買材料回家煮,一樣的錢還不如自己去頂好買材料回家煮,一樣的錢還不如去頂好買材料回家煮,0
只有冰沙ok,只有冰沙ok,只有冰沙ok,0
CP值高平價好吃阿,CP值高平價好吃阿,CP值高平價好吃阿,0
爛...位子很擠、連醬料佐料都要跟店員要材給,爛位子很擠、連醬料佐料都要跟店員要材給,爛位子很擠、連醬料佐料都要跟店員要材給,0
以涮涮鍋的價位算便宜吧,以涮涮鍋的價位算便宜吧,以涮涮鍋的價位算便宜吧,0
吃過一次就賭爛,吃過一次就賭爛,吃過一次就賭爛,0
輕井澤屌打12鍋,輕井澤屌打12鍋,輕井澤屌打12鍋,0
公司勞動節發三張這家的餐券......,公司勞動節發三張這家的餐券,公司勞動節發三張家的餐券,0
"最佳品牌形象代言人馬囧:""一鍋食不飽，何不食二鍋?""",最佳品牌形象代言人馬囧一鍋食不飽，何不食二鍋,最佳品牌形象代言人馬囧一鍋食不飽，何不食二鍋,0
五冠扒衣105人二鍋,五冠扒衣105人二鍋,五冠扒衣105人二鍋,0
備料的時間人力算進去嗎,備料的時間人力算進去嗎,備料的時間人力算進去嗎,0
輕井澤屌打+1 不過好像台中以南才有QQ,輕井澤屌打1不過好像台中以南才有QQ,輕井澤屌打1不過好像台中以南才有QQ,0
覺得料很少,覺得料很少,覺得料很少,0
滷肉飯很好吃!!,滷肉飯很好吃,滷肉飯很好吃,0
有時候等待的時間就跟備料時間差不多了XD,有時候等待的時間就跟備料時間差不多了XD,有時候等待的時間就跟備料時間差不多了XD,0
普通 只是人很多很不爽,普通只是人很多很不爽,普通只是人很多很不爽,0
以前算便宜阿200內一鍋  現在漲到哪了???,以前算便宜阿200內一鍋現在漲到哪了,以前算便宜阿200內一鍋現在漲到哪了,0
假的石頭火鍋,假的石頭火鍋,假的石頭火鍋,0
住台南的屏東人表示 很難吃,住台南的屏東人表示很難吃,住台南的屏東人表示很難吃,0
不覺得有什麼特別的，需要排隊成那樣,不覺得有什麼特別的，需要排隊成那樣,不覺得有特別的，需要排隊成那樣,0
"不知道在排啥,還不如吃喜憨兒養生鍋，還可以幫助弱勢",不知道在排啥還不如吃喜憨兒養生鍋，還可以幫助弱勢,不知道在排還不如吃喜憨兒養生鍋，還可以幫助弱勢,0
平價吃的飽環境舒適,平價吃的飽環境舒適,平價吃的飽環境舒適,0
哪裡有吃到飽？？,哪裡有吃到飽？？,哪裡有吃到飽？？,0
我寧願吃三媽，反正都差不多價格差一倍,我寧願吃三媽，反正都差不多價格差一倍,寧願吃三媽，反正都差不多價格差一倍,0
就百元鍋多幾片肉 然後多幾十塊一樣,就百元鍋多幾片肉然後多幾十塊一樣,就百元鍋多幾片肉然後多幾十塊一樣,0
青景責才難吃,青景責才難吃,青景責才難吃,0
說自己買料的 家裡有養牛或豬!?,說自己買料的家裡有養牛或豬,說買料的家裡有養牛或豬,0
唯一支持輕井澤,唯一支持輕井澤,唯一支持輕井澤,0
沒知識又愛假掰的窮裝凱吃的高級垃圾,沒知識又愛假掰的窮裝凱吃的高級垃圾,沒知識又愛假掰的窮裝凱吃的高級垃圾,0
看圖以為是韓國人,看圖以為是韓國人,看圖以為是韓國人,0
不要侮辱我最愛的grunge團,不要侮辱我最愛的grunge團,不要侮辱最愛的grunge團,0
人家可以進搖滾名人堂，你胡睿兒甚麼咖,人家可以進搖滾名人堂，你胡睿兒甚麼咖,可以進搖滾名人堂，胡睿兒咖,0
.....,,,0
拿Kurt跟這咖比  你自盡吧,拿Kurt跟這咖比你自盡吧,拿Kurt跟咖比自盡吧,0
快學kurt自盡,快學kurt自盡,快學kurt自盡,0
這樣侮辱人的?,這樣侮辱人的,這樣侮辱人的,0
科特現在很想死 所以你可以殺死死人 真了不起,科特現在很想死所以你可以殺死死人真了不起,科特現在很想死所以可以殺死死人真了不起,0
標準的藍八比雞腿,標準的藍八比雞腿,標準的藍八比雞腿,0
XX比雞腿,XX比雞腿,XX比雞腿,0
別污辱kurt,別污辱kurt,別污辱kurt,0
不要亂比......,不要亂比,不要亂比,0
幹 等你一首歌變成全世界搖滾國歌再來談啦,幹等你一首歌變成全世界搖滾國歌再來談啦,幹等一首歌變成全世界搖滾國歌再來談啦,0
哈哈哈哈哈哈 群體嘲諷,哈哈哈哈哈哈群體嘲諷,哈哈哈哈哈哈群體嘲諷,0
別侮辱kurt喇,別侮辱kurt喇,別侮辱kurt喇,0
什麼台灣Nirvana 啦，滾,什麼台灣Nirvana啦，滾,台灣Nirvana啦，滾,0
XDDDDDDD,XDDDDDDD,XDDDDDDD,0
誰人甲我比！,誰人甲我比！,甲比！,0
大麻？恁北注海落英ㄟ啦！,大麻？恁北注海落英啦！,大麻？北注海落英啦！,0
雞腿比大腿喔,雞腿比大腿喔,雞腿比大腿喔,0
少年氣味這種咬字不清的糞歌怎麼跟癡情玫瑰花比？胡鬧,少年氣味這種咬字不清的糞歌怎麼跟癡情玫瑰花比？胡鬧,少年氣味種咬字不清的糞歌怎麼跟癡情玫瑰花比？胡鬧,0
你少汙辱了,你少汙辱了,少汙辱了,0
連十萬分之一都不如,連十萬分之一都不如,連十萬分之一都不如,0
趕快去洗洗睡啦,趕快去洗洗睡啦,趕快去洗洗睡啦,0
台灣糞樂製造者,台灣糞樂製造者,台灣糞樂製造者,0
這種算人？,這種算人？,種算人？,0
最好吸毒吸到死,最好吸毒吸到死,最好吸毒吸到死,0
XDDDDDDDDDDDDDDDDDDDDDDDDDD,XDDDDDDDDDDDDDDDDDDDDDDDDDD,XDDDDDDDDDDDDDDDDDDDDDDDDDD,0
我也那麼覺得,我也那麼覺得,也那麼覺得,0
大家一起來,大家一起來,一起來,0
還問Queen 跟 Bob Dylan,還問Queen跟BobDylan,還問Queen跟BobDylan,0
靠北喔 幹媽的 欠虛喔,靠北喔幹媽的欠虛喔,靠北喔幹媽的欠虛喔,0
投資有賺有賠，請小心投資。,投資有賺有賠，請小心投資。,投資有賺有賠，請小心投資。,0
任何投資都是有風險的，請謹慎投資。,任何投資都是有風險的，請謹慎投資。,任何投資都是有風險的，請謹慎投資。,0
不應該把投資視為一切請依照自身能力決定。,不應該把投資視為一切請依照自身能力決定。,不應該把投資視為一切請依照能力決定。,0
幹，小人國的懶覺比巨人國的雞腿！,幹，小人國的懶覺比巨人國的雞腿！,幹，小人國的懶覺比巨人國的雞腿！,0
髒髒老肉體 想裝小男孩 哪裡俊俏? 什麼睿兒? 明明就髒老睿,髒髒老肉體想裝小男孩哪裡俊俏什麼睿兒明明就髒老睿,髒髒老肉體想裝小男孩哪裡俊俏睿兒明明就髒老睿,0
瘦瘦的好像竹竿，瘦是瘦沒錯，但是體質髒髒。想裝嫩,瘦瘦的好像竹竿，瘦是瘦沒錯，但是體質髒髒。想裝嫩,瘦瘦的好像竹竿，瘦是瘦沒錯，但是體質髒髒。想裝嫩,0
現在都用無人機開轟了啦,現在都用無人機開轟了啦,現在都用無人機開轟了啦,0
自已去網飛看毒梟就知了,自已去網飛看毒梟就知了,去網飛看毒梟就知了,0
隨便找個理由就開戰了吧ㄎㄎ,隨便找個理由就開戰了吧,隨便找個理由就開戰了吧,0
等著看笑話 看他要怎麼突破重重防禦,等著看笑話看他要怎麼突破重重防禦,等著看笑話看要怎麼突破重重防禦,0
殺個EDA都怕怕   還想殺米國總統,殺個EDA都怕怕還想殺米國總統,殺個EDA都怕怕還想殺米國總統,0
會再選出下一個總統，總統其實只是一個代議政治下的產物~,會再選出下一個總統，總統其實只是一個代議政治下的產物,會再選出下一個總統，總統其實只是一個代議政治下的產物,0
菲律賓總統都殺不了要殺到美國...,菲律賓總統都殺不了要殺到美國,菲律賓總統都殺不了要殺到美國,0
吸到腦袋壞掉才會幹這種蠢事,吸到腦袋壞掉才會幹這種蠢事,吸到腦袋壞掉才會幹種蠢事,0
"美國：傑森包恩 John wick,Robert McCall，bob Lee swag",美國：傑森包恩JohnwickRobertMcCall，bobLeeswag,美國：傑森包恩JohnwickRobertMcCall，bobLeeswag,0
自己選一個吧,自己選一個吧,選一個吧,0
還沒踏進美國的領土 就被滅掉了,還沒踏進美國的領土就被滅掉了,還沒踏進美國的領土就被滅掉了,0
隊長不昰幹假的,隊長不昰幹假的,隊長不昰幹假的,0
不是有說毒梟是CIA控制的嗎? 當做資金來源之一,不是有說毒梟是CIA控制的嗎當做資金來源之一,不是有說毒梟是CIA控制的嗎當做資金來源之一,0
我們全部種田好不好，符合低污染歐,我們全部種田好不好，符合低污染歐,全部種田好不好，符合低污染歐,0
你先搞清楚進口替代四個字的意思,你先搞清楚進口替代四個字的意思,先搞清楚進口替代四個字的意思,0
文組的理想世界啊！晴耕雨讀,文組的理想世界啊！晴耕雨讀,文組的理想世界啊！晴耕雨讀,0
民進黨支持者不是醫生望族等級就是農民，沒有在管經濟的,民進黨支持者不是醫生望族等級就是農民，沒有在管經濟的,民進黨支持者不是醫生望族等級就是農民，沒有在管經濟的,0
大家清談就飽了,大家清談就飽了,清談就飽了,0
事実上是該転型，就是滾啦淦,事実上是該転型，就是滾啦淦,事実上是該転型，就是滾啦淦,0
刁民：做不到不重要，重要的是我有參與公共決策的心,刁民：做不到不重要，重要的是我有參與公共決策的心,刁民：做不到不重要，重要的是有參與公共決策的心,0
啊是不會做好回收排放標準喔！做不到的企業！滾～～,啊是不會做好回收排放標準喔！做不到的企業！滾,啊是不會做好回收排放標準喔！做不到的企業！滾,0
哼！想約炮還搞那麼多小動作，是不會學我膩,哼！想約炮還搞那麼多小動作，是不會學我膩,哼！想約炮還搞那麼多小動作，是不會學膩,0
畫質劇本大勝,畫質劇本大勝,畫質劇本大勝,0
如果以後閃軌3繼續這樣爛下去 別說英雄傳說系列,如果以後閃軌3繼續這樣爛下去別說英雄傳說系列,如果以後閃軌3繼續這樣爛下去別說英雄傳說系列,0
法爾康還有辦法撐多久都是問題,法爾康還有辦法撐多久都是問題,法爾康還有辦法撐多久都是問題,0
神作到來 空軌下跪(大將軍調,神作到來空軌下跪大將軍調,神作到來空軌下跪大將軍調,0
把英傳系列的標題拿掉是不想要有系列作包袱在吧,把英傳系列的標題拿掉是不想要有系列作包袱在吧,把英傳系列的標題拿掉是不想要有系列作包袱在吧,0
雖然演到現在軌跡也12年了~~,雖然演到現在軌跡也12年了,雖然演到現在軌跡也12年了,0
拜託別來 閃二想這樣搞已經夠糟糕了,拜託別來閃二想這樣搞已經夠糟糕了,拜託別來閃二想這樣搞已經夠糟糕了,0
不是在碧軌的結局時就已經向空軌道別了嗎，為了銷量還是,不是在碧軌的結局時就已經向空軌道別了嗎，為了銷量還是,不是在碧軌的結局時就已經向空軌道別了嗎，為了銷量還是,0
得把他們拖出來呀 XD,得把他們拖出來呀XD,得把拖出來呀XD,0
英雄傳說的標題一直都沒拿掉吧,英雄傳說的標題一直都沒拿掉吧,英雄傳說的標題一直都沒拿掉吧,0
說真的我寧願讓大將軍爽也不想讓軌跡繼續爛了  前面這麼好玩,說真的我寧願讓大將軍爽也不想讓軌跡繼續爛了前面這麼好玩,說真的寧願讓大將軍爽也不想讓軌跡繼續爛了前面這麼好玩,0
別可惜了這麼龐大的系列故事,別可惜了這麼龐大的系列故事,別可惜了這麼龐大的系列故事,0
大將軍高潮了,大將軍高潮了,大將軍高潮了,0
英傳 空零碧軌 伊蘇 通通給我跪下!,英傳空零碧軌伊蘇通通給我跪下,英傳空零碧軌伊蘇通通給跪下,0
真是好藉口 即使做爛了也能硬凹是重啟新系列的里程碑,真是好藉口即使做爛了也能硬凹是重啟新系列的里程碑,真是好藉口即使做爛了也能硬凹是重啟新系列的里程碑,0
空軌三如果掛了沒差 曉之軌跡carry一下再把空碧軌加進,空軌三如果掛了沒差曉之軌跡carry一下再把空碧軌加進,空軌三如果掛了沒差曉之軌跡carry一下再把空碧軌加進,0
來救援 法爾康應該還可以撐下去 只是面子上不好看而已,來救援法爾康應該還可以撐下去只是面子上不好看而已,來救援法爾康應該還可以撐下去只是面子上不好看而已,0
軌跡玩爛了啦 伊蘇9快出,軌跡玩爛了啦伊蘇9快出,軌跡玩爛了啦伊蘇9快出,0
零軌就把英傳七拿掉了啦,零軌就把英傳七拿掉了啦,零軌就把英傳七拿掉了啦,0
空軌3rd剛發售時的暫定名稱還是英傳七 零軌,空軌3rd剛發售時的暫定名稱還是英傳七零軌,空軌3rd剛發售時的暫定名稱還是英傳七零軌,0
後來發售前就拿掉改成軌跡系列,後來發售前就拿掉改成軌跡系列,後來發售前就拿掉改成軌跡系列,0
我要克蕾雅羈絆結局啊~~~,我要克蕾雅羈絆結局啊,要克蕾雅羈絆結局啊,0
拿掉的只有數字，零碧軌英雄傳說還是在,拿掉的只有數字，零碧軌英雄傳說還是在,拿掉的只有數字，零碧軌英雄傳說還是在,0
可是克蕾雅已經QQ,可是克蕾雅已經QQ,可是克蕾雅已經QQ,0
靈碧閃只是代數拿掉 英雄傳說標題沒有拿掉,靈碧閃只是代數拿掉英雄傳說標題沒有拿掉,靈碧閃只是代數拿掉英雄傳說標題沒有拿掉,0
里程碑 軌跡這招牌存活的里程碑,里程碑軌跡這招牌存活的里程碑,里程碑軌跡招牌存活的里程碑,0
大將軍要高潮了www,大將軍要高潮了www,大將軍要高潮了www,0
是里程碑沒錯  要徹底爛掉還是有沒有機會救回來都看這次了,是里程碑沒錯要徹底爛掉還是有沒有機會救回來都看這次了,是里程碑沒錯要徹底爛掉還是有沒有機會救回來都看次了,0
應該是在PS4吧 我賭一把了,應該是在PS4吧我賭一把了,應該是在PS4吧賭一把了,0
你把我曜放在哪,你把我曜放在哪,把曜放在,0
醒醒，花丸是我老婆,醒醒，花丸是我老婆,醒醒，花丸是老婆,0
妮可我老婆好嗎,妮可我老婆好嗎,妮可老婆好嗎,0
第一可愛明明就真姬,第一可愛明明就真姬,第一可愛明明就真姬,0
花丸是我的,花丸是我的,花丸是的,0
我覺得曜很三八,我覺得曜很三八,覺得曜很三八,0
你把小鳥跟曜放哪,你把小鳥跟曜放哪,把小鳥跟曜放哪,0
我大肥希毫無死角,我大肥希毫無死角,大肥希毫無死角,0
你把露比放哪裡,你把露比放哪裡,把露比放哪裡,0
放在花丸後面啊@_@,放在花丸後面啊,放在花丸後面啊,0
夜羽大人我der,夜羽大人我der,夜羽大人der,0
乖 妮可是真姬老婆,乖妮可是真姬老婆,乖妮可是真姬老婆,0
妮姬都是我老婆啦,妮姬都是我老婆啦,妮姬都是老婆啦,0
娶妻當娶花丸 生女當如夭壽肉,娶妻當娶花丸生女當如夭壽肉,娶妻當娶花丸生女當如夭壽肉,0
看來我可以獨佔夜羽了,看來我可以獨佔夜羽了,看來可以獨佔夜羽了,0
我擔心妮可會為了家計煩惱而去...,我擔心妮可會為了家計煩惱而去,擔心妮可會為了家計煩惱而去,0
凜我的，其他你們自己分,凜我的，其他你們自己分,凜的，其他分,0
kke教徒路過,kke教徒路過,kke教徒路過,0
妮可有我這個老公，不用煩惱家計,妮可有我這個老公，不用煩惱家計,妮可有個老公，不用煩惱家計,0
你有妮姬了QAQ,你有妮姬了QAQ,有妮姬了QAQ,0
我希美如畫,我希美如畫,希美如畫,0
那麼露比我就不客氣帶走了,那麼露比我就不客氣帶走了,那麼露比就不客氣帶走了,0
妮可被我抱緊很久了,妮可被我抱緊很久了,妮可被抱緊很久了,0
鞠莉我帶走了,鞠莉我帶走了,鞠莉帶走了,0
你把我曜跟露比放哪 決鬥！！,你把我曜跟露比放哪決鬥！！,把曜跟露比放哪決鬥！！,0
真姬我老婆,真姬我老婆,真姬老婆,0
我曜你不要我已拿走,我曜你不要我已拿走,曜不要已拿走,0
刀劍亂舞-花丸,刀劍亂舞花丸,刀劍亂舞花丸,0
茲拉丸毫無死角,茲拉丸毫無死角,茲拉丸毫無死角,0
水團第一名花丸 第二名曜 都我老婆 嘻嘻,水團第一名花丸第二名曜都我老婆嘻嘻,水團第一名花丸第二名曜都老婆嘻嘻,0
善子比較萌,善子比較萌,善子比較萌,0
繪里 果南我的,繪里果南我的,繪里果南的,0
小心我曜對你使出一記yosoro,小心我曜對你使出一記yosoro,小心曜對使出一記yosoro,0
花丸這麼會吃養她伙食費肯定不低,花丸這麼會吃養她伙食費肯定不低,花丸這麼會吃養伙食費肯定不低,0
安產型花丸,安產型花丸,安產型花丸,0
妳把我家果皇放在哪,妳把我家果皇放在哪,把家果皇放在哪,0
百分百被當肥宅 不過把到空姐機率還是有,百分百被當肥宅不過把到空姐機率還是有,百分百被當肥宅不過把到空姐機率還是有,0
松山機場的話，去吃午餐+喝咖啡，順便聲援。,松山機場的話，去吃午餐喝咖啡，順便聲援。,松山機場的話，去吃午餐喝咖啡，順便聲援。,0
肥宅乖乖在家裡看別人分享的照片啦,肥宅乖乖在家裡看別人分享的照片啦,肥宅乖乖在家裡看分享的照片啦,0
你根本不是要去支援而是要去找老婆的吧,你根本不是要去支援而是要去找老婆的吧,根本不是要去支援而是要去找老婆的吧,0
-1 工具人待在家就好 別去亂,1工具人待在家就好別去亂,1工具人待在家就好別去亂,0
-1不會去，他們每個平常生活都過得很爽,1不會去，他們每個平常生活都過得很爽,1不會去，每個平常生活都過得很爽,0
100...,100,100,0
蛇蛇去對她們也沒幫助啊XD,蛇蛇去對她們也沒幫助啊XD,蛇蛇去對也沒幫助啊XD,0
要聲援就真心去聲援 不要想這麼多,要聲援就真心去聲援不要想這麼多,要聲援就真心去聲援不要想這麼多,0
考慮送物資過去,考慮送物資過去,考慮送物資過去,0
還姻緣咧......,還姻緣咧,還姻緣咧,0
人家罷工不要再去騷擾了好嗎也不照照鏡子,人家罷工不要再去騷擾了好嗎也不照照鏡子,罷工不要再去騷擾了好嗎也不照照鏡子,0
媽的不能意淫但是他們可以嫌肥宅噁心 這社會...,媽的不能意淫但是他們可以嫌肥宅噁心這社會,媽的不能意淫但是可以嫌肥宅噁心社會,0
+1 物資不用了 這兩天在那裡政治人物送不少食物,1物資不用了這兩天在那裡政治人物送不少食物,1物資不用了兩天在那裡政治人物送不少食物,0
而且水也是成箱成箱在算的,而且水也是成箱成箱在算的,而且水也是成箱成箱在算的,0
物資應該對她們的幫助比較大,物資應該對她們的幫助比較大,物資應該對的幫助比較大,0
不去也沒差 別像某些廢物扯後腿就是最好的幫助,不去也沒差別像某些廢物扯後腿就是最好的幫助,不去也沒差別像某些廢物扯後腿就是最好的幫助,0
(￣▽￣)ﾉ八卦工具人(￣▽￣)ﾉ,八卦工具人,八卦工具人,0
一定一堆豬哥肥宅跑去拍照,一定一堆豬哥肥宅跑去拍照,一定一堆豬哥肥宅跑去拍照,0
-1，不要害空姐心情更差好嗎,1，不要害空姐心情更差好嗎,1，不要害空姐心情更差好嗎,0
加1，剛下班搭公車過去,加1，剛下班搭公車過去,加1，剛下班搭公車過去,0
肥宅請不要去搶空姐空氣 很噁心,肥宅請不要去搶空姐空氣很噁心,肥宅請不要去搶空姐空氣很噁心,0
去意淫還是去聲援 講清楚,去意淫還是去聲援講清楚,去意淫還是去聲援講清楚,0
-1    因為我他媽要上班  幹,1因為我他媽要上班幹,1因為他媽要上班幹,0
最美麗 要變成 最反差 了,最美麗要變成最反差了,最美麗要變成最反差了,0
87肥宅別去亂好嗎,87肥宅別去亂好嗎,87肥宅別去亂好嗎,0
看臉一下子就被認出來是魯宅了別去丟臉啦,看臉一下子就被認出來是魯宅了別去丟臉啦,看臉一下子就被認出來是魯宅了別去丟臉啦,0
長的又不帥，連去那演習的資格都沒有,長的又不帥，連去那演習的資格都沒有,長的又不帥，連去演習的資格都沒有,0
鍵盤支持 繼續工作,鍵盤支持繼續工作,鍵盤支持繼續工作,0
空姐超會看人 一副魯樣去只是被酸被笑,空姐超會看人一副魯樣去只是被酸被笑,空姐超會看人一副魯樣去只是被酸被笑,0
乾你屁事 華隆的你會去嗎,乾你屁事華隆的你會去嗎,乾屁事華隆的會去嗎,0
大多有溫拿或鮮肉男友 促成啥姻緣啦,大多有溫拿或鮮肉男友促成啥姻緣啦,大多有溫拿或鮮肉男友促成姻緣啦,0
打給GTO叫比較實質,打給GTO叫比較實質,打給GTO叫比較實質,0
還是希望能儘快有個成果，長時間耗對罷工不利,還是希望能儘快有個成果，長時間耗對罷工不利,還是希望能儘快有個成果，長時間耗對罷工不利,0
會想去為了支持罷工！,會想去為了支持罷工！,會想去為了支持罷工！,0
-1 去看熱鬧喔？,1去看熱鬧喔？,1去看熱鬧喔？,0
奇他工人抗爭你有這麼勤勞嗎？,奇他工人抗爭你有這麼勤勞嗎？,奇工人抗爭有這麼勤勞嗎？,0
坐等找到老婆文,坐等找到老婆文,坐等找到老婆文,0
+0 肥宅還是別去惹的被告來的好,0肥宅還是別去惹的被告來的好,0肥宅還是別去惹的被告來的好,0
鍵盤到場+1,鍵盤到場1,鍵盤到場1,0
肥宅去大概會被告,肥宅去大概會被告,肥宅去大概會被告,0
-1 我還有人生，我不想被告，我不想坐牢，我還不想死 T-T,1我還有人生，我不想被告，我不想坐牢，我還不想死TT,1還有人生，不想被告，不想坐牢，還不想死TT,0
鍵盤支持@@,鍵盤支持,鍵盤支持,0
-1 去了被當意淫台女    懂?,1去了被當意淫台女懂,1去了被當意淫台女懂,0
肥宅省省吧 人家有男友了,肥宅省省吧人家有男友了,肥宅省省吧有男友了,0
這是罷工不是學運，請不要去攪局。送物資更白痴。,這是罷工不是學運，請不要去攪局。送物資更白痴。,是罷工不是學運，請不要去攪局。送物資更白痴。,0
你該去的是華隆zzzzzzzzz,你該去的是華隆zzzzzzzzz,該去的是華隆zzzzzzzzz,0
我去喔+1,我去喔1,去喔1,0
考完試會去一下 +1,考完試會去一下1,考完試會去一下1,0
看了他們平常對經濟艙旅客的態度，就挺不下去！,看了他們平常對經濟艙旅客的態度，就挺不下去！,看了平常對經濟艙旅客的態度，就挺不下去！,0
